wavelength_um,mirror_reflectance,sol_best_emitter_emissivity,planck_1300K_w_m2_um
3.778,0.9999999,0.75598126,27438.656
3.789,0.99999991,0.76205074,27286.793
3.8,0.99999991,0.76804722,27135.62
3.811,0.99999991,0.77395985,26985.138
3.822,0.99999991,0.77977774,26835.351
3.833,0.99999991,0.78549008,26686.26
3.844,0.99999991,0.7910861,26537.868
3.855,0.99999991,0.79655517,26390.175
3.866,0.9999999,0.80188682,26243.185
3.877,0.9999999,0.80707077,26096.897
3.888,0.99999989,0.812097,25951.315
3.899,0.99999988,0.81695577,25806.439
3.91,0.99999987,0.82163767,25662.269
3.921,0.99999986,0.82613368,25518.808
3.932,0.99999985,0.83043516,25376.055
3.943,0.99999983,0.83453396,25234.012
3.954,0.9999998,0.83842238,25092.679
3.965,0.99999977,0.84209329,24952.056
3.976,0.99999974,0.84554007,24812.144
3.987,0.99999969,0.84875672,24672.943
3.998,0.99999963,0.85173784,24534.453
4.009,0.99999956,0.85447864,24396.674
4.02,0.99999946,0.85697502,24259.606
4.031,0.99999933,0.85922353,24123.248
4.042,0.99999916,0.86122139,23987.6
4.053,0.99999895,0.8629665,23852.662
4.064,0.99999868,0.86445747,23718.433
4.075,0.99999836,0.86569356,23584.912
4.086,0.999998,0.86667474,23452.099
4.097,0.99999766,0.86740162,23319.993
4.108,0.99999739,0.86787549,23188.593
4.119,0.99999726,0.86809824,23057.898
4.13,0.99999727,0.86807241,22927.906
4.141,0.99999738,0.86780112,22798.618
4.152,0.99999756,0.86728804,22670.03
4.163,0.99999775,0.86653739,22542.143
4.174,0.99999792,0.8655539,22414.955
4.185,0.99999808,0.86434275,22288.463
4.196,0.9999982,0.86290956,22162.668
4.207,0.9999983,0.86126036,22037.567
4.218,0.99999837,0.85940153,21913.158
4.229,0.99999843,0.85733978,21789.44
4.24,0.99999846,0.8550821,21666.411
4.251,0.99999847,0.85263573,21544.07
4.262,0.99999847,0.85000812,21422.413
4.273,0.99999844,0.8472069,21301.44
4.284,0.99999841,0.84423984,21181.149
4.295,0.99999835,0.84111481,21061.537
4.306,0.99999827,0.83783974,20942.602
4.317,0.99999818,0.83442261,20824.343
4.328,0.99999805,0.8308714,20706.756
4.339,0.9999979,0.8271941,20589.84
4.35,0.99999772,0.82339861,20473.593
4.361,0.99999749,0.81949278,20358.012
4.372,0.99999722,0.81548437,20243.096
4.383,0.99999688,0.81138102,20128.84
4.394,0.99999647,0.80719023,20015.244
4.405,0.99999596,0.80291936,19902.305
4.416,0.99999533,0.79857559,19790.02
4.427,0.99999454,0.79416592,19678.386
4.438,0.99999355,0.78969718,19567.402
4.449,0.99999229,0.78517597,19457.065
4.46,0.99999069,0.7806087,19347.371
4.471,0.99998863,0.77600155,19238.32
4.482,0.99998597,0.77136048,19129.907
4.493,0.99998257,0.76669124,19022.13
4.504,0.99997826,0.76199932,18914.987
4.515,0.99997297,0.75729002,18808.474
4.526,0.99996679,0.75256837,18702.59
4.537,0.99996019,0.74783921,18597.331
4.548,0.99995406,0.74310711,18492.695
4.559,0.99994952,0.73837644,18388.679
4.57,0.9999474,0.73365134,18285.279
4.581,0.99994773,0.72893574,18182.494
4.592,0.99994991,0.72423334,18080.32
4.603,0.99995306,0.71954765,17978.755
4.614,0.99995647,0.71488194,17877.796
4.625,0.9999597,0.71023933,17777.439
4.636,0.99996254,0.7056227,17677.683
4.647,0.99996491,0.70103476,17578.523
4.658,0.99996682,0.69647806,17479.958
4.669,0.99996828,0.69195494,17381.984
4.68,0.99996936,0.68746759,17284.599
4.691,0.99997007,0.68301805,17187.799
4.702,0.99997045,0.67860817,17091.581
4.713,0.99997052,0.67423968,16995.944
4.724,0.99997029,0.66991416,16900.883
4.735,0.99996976,0.66563305,16806.395
4.746,0.99996893,0.66139767,16712.479
4.757,0.99996778,0.65720921,16619.13
4.768,0.99996628,0.65306874,16526.346
4.779,0.99996438,0.64897721,16434.125
4.79,0.99996205,0.6449355,16342.462
4.801,0.9999592,0.64094434,16251.355
4.812,0.99995575,0.63700441,16160.802
4.823,0.99995158,0.63311626,16070.798
4.834,0.99994653,0.6292804,15981.342
4.845,0.99994041,0.62549723,15892.43
4.856,0.99993298,0.62176708,15804.059
4.867,0.9999239,0.61809021,15716.226
4.878,0.99991274,0.61446682,15628.929
4.889,0.99989895,0.61089705,15542.165
4.9,0.9998818,0.60738097,15455.929
4.911,0.99986033,0.60391861,15370.221
4.922,0.99983332,0.60050993,15285.036
4.933,0.9997992,0.59715488,15200.371
4.944,0.9997561,0.59385333,15116.224
4.955,0.99970193,0.59060512,15032.592
4.966,0.99963484,0.58741006,14949.472
4.977,0.9995541,0.58426792,14866.861
4.988,0.99946178,0.58117845,14784.756
4.999,0.99936464,0.57814134,14703.154
5.01,0.99927506,0.57515629,14622.052
5.021,0.99920826,0.57222295,14541.447
5.032,0.99917576,0.56934096,14461.337
5.043,0.99917942,0.56650994,14381.719
5.054,0.99921156,0.56372948,14302.589
5.065,0.99926031,0.56099916,14223.945
5.076,0.99931495,0.55831856,14145.784
5.087,0.99936828,0.55568721,14068.103
5.098,0.99941648,0.55310466,13990.9
5.109,0.999458,0.55057044,13914.171
5.12,0.99949262,0.54808407,13837.914
5.131,0.99952071,0.54564507,13762.125
5.142,0.99954287,0.54325293,13686.803
5.153,0.99955972,0.54090716,13611.943
5.164,0.99957179,0.53860725,13537.544
5.175,0.99957954,0.53635269,13463.603
5.186,0.99958328,0.53414297,13390.117
5.197,0.99958323,0.53197758,13317.083
5.208,0.9995795,0.52985599,13244.498
5.219,0.99957207,0.5277777,13172.36
5.23,0.99956084,0.52574218,13100.666
5.241,0.99954559,0.52374891,13029.414
5.252,0.99952597,0.52179739,12958.599
5.263,0.99950153,0.5198871,12888.221
5.274,0.99947161,0.51801752,12818.276
5.285,0.99943542,0.51618815,12748.761
5.296,0.99939189,0.51439848,12679.674
5.307,0.99933968,0.51264801,12611.013
5.318,0.99927711,0.51093623,12542.774
5.329,0.999202,0.50926265,12474.954
5.34,0.99911159,0.50762678,12407.553
5.351,0.99900237,0.50602812,12340.566
5.362,0.99886984,0.5044662,12273.991
5.373,0.99870823,0.50294054,12207.825
5.384,0.99851022,0.50145066,12142.067
5.395,0.99826654,0.4999961,12076.713
5.406,0.99796575,0.49857638,12011.761
5.417,0.99759414,0.49719107,11947.208
5.428,0.99713649,0.49583969,11883.053
5.439,0.9965782,0.4945218,11819.291
5.45,0.99591028,0.49323697,11755.922
5.461,0.99513839,0.49198475,11692.942
5.472,0.99429604,0.49076473,11630.348
5.483,0.99345659,0.48957646,11568.14
5.494,0.99273146,0.48841954,11506.313
5.505,0.99224066,0.48729355,11444.866
5.516,0.99206193,0.48619809,11383.796
5.527,0.99219392,0.48513276,11323.101
5.538,0.99256446,0.48409715,11262.778
5.549,0.99307263,0.48309089,11202.826
