wavelength_um,reflectance,emissivity
2.083078743,0.7579216435,0.2420783565
2.08664207,0.7587197542,0.2412802458
2.090205396,0.7594432076,0.2405567924
2.093768723,0.7600934284,0.2399065716
2.097332049,0.7606717564,0.2393282436
2.100895375,0.7611794504,0.2388205496
2.104458702,0.7616176905,0.2383823095
2.108022028,0.761987582,0.238012418
2.111585355,0.7622901572,0.2377098428
2.115148681,0.7625263786,0.2374736214
2.118712008,0.7626971413,0.2373028587
2.122275334,0.7628032754,0.2371967246
2.125838661,0.7628455479,0.2371544521
2.129401987,0.7628246655,0.2371753345
2.132965314,0.7627412757,0.2372587243
2.13652864,0.7625959697,0.2374040303
2.140091967,0.7623892833,0.2376107167
2.143655293,0.7621216992,0.2378783008
2.14721862,0.7617936483,0.2382063517
2.150781946,0.7614055116,0.2385944884
2.154345273,0.7609576212,0.2390423788
2.157908599,0.7604502619,0.2395497381
2.161471926,0.7598836726,0.2401163274
2.165035252,0.7592580472,0.2407419528
2.168598579,0.7585735363,0.2414264637
2.172161905,0.7578302479,0.2421697521
2.175725232,0.7570282485,0.2429717515
2.179288558,0.7561675642,0.2438324358
2.182851885,0.755248182,0.244751818
2.186415211,0.7542700499,0.2457299501
2.189978538,0.7532330785,0.2467669215
2.193541864,0.7521371418,0.2478628582
2.197105191,0.7509820774,0.2490179226
2.200668517,0.7497676881,0.2502323119
2.204231844,0.748493742,0.251506258
2.20779517,0.7471599738,0.2528400262
2.211358497,0.7457660849,0.2542339151
2.214921823,0.7443117447,0.2556882553
2.21848515,0.7427965908,0.2572034092
2.222048476,0.74122023,0.25877977
2.225611803,0.7395822389,0.2604177611
2.229175129,0.7378821645,0.2621178355
2.232738456,0.7361195249,0.2638804751
2.236301782,0.73429381,0.26570619
2.239865108,0.7324044823,0.2675955177
2.243428435,0.7304509773,0.2695490227
2.246991761,0.7284327046,0.2715672954
2.250555088,0.7263490483,0.2736509517
2.254118414,0.7241993681,0.2758006319
2.257681741,0.7219829996,0.2780170004
2.261245067,0.7196992557,0.2803007443
2.264808394,0.7173474272,0.2826525728
2.26837172,0.7149267835,0.2850732165
2.271935047,0.7124365739,0.2875634261
2.275498373,0.7098760285,0.2901239715
2.2790617,0.7072443591,0.2927556409
2.282625026,0.7045407606,0.2954592394
2.286188353,0.7017644117,0.2982355883
2.289751679,0.698914477,0.301085523
2.293315006,0.6959901074,0.3040098926
2.296878332,0.6929904423,0.3070095577
2.300441659,0.6899146104,0.3100853896
2.304004985,0.6867617321,0.3132382679
2.307568312,0.6835309205,0.3164690795
2.311131638,0.6802212837,0.3197787163
2.314694965,0.6768319265,0.3231680735
2.318258291,0.6733619525,0.3266380475
2.321821618,0.6698104663,0.3301895337
2.325384944,0.666176576,0.333823424
2.328948271,0.6624593952,0.3375406048
2.332511597,0.6586580462,0.3413419538
2.336074924,0.6547716623,0.3452283377
2.33963825,0.650799391,0.349200609
2.343201577,0.6467403971,0.3532596029
2.346764903,0.6425938657,0.3574061343
2.35032823,0.6383590061,0.3616409939
2.353891556,0.6340350549,0.3659649451
2.357454883,0.6296212804,0.3703787196
2.361018209,0.6251169864,0.3748830136
2.364581536,0.6205215163,0.3794784837
2.368144862,0.6158342578,0.3841657422
2.371708189,0.6110546475,0.3889453525
2.375271515,0.6061821757,0.3938178243
2.378834841,0.6012163916,0.3987836084
2.382398168,0.5961569085,0.4038430915
2.385961494,0.5910034096,0.4089965904
2.389524821,0.5857556536,0.4142443464
2.393088147,0.5804134804,0.4195865196
2.396651474,0.574976818,0.425023182
2.4002148,0.569445688,0.430554312
2.403778127,0.5638202131,0.4361797869
2.407341453,0.5581006232,0.4418993768
2.41090478,0.5522872626,0.4477127374
2.414468106,0.5463805972,0.4536194028
2.418031433,0.5403812217,0.4596187783
2.421594759,0.534289867,0.465710133
2.425158086,0.5281074078,0.4718925922
2.428721412,0.5218348699,0.4781651301
2.432284739,0.5154734382,0.4845265618
2.435848065,0.5090244641,0.4909755359
2.439411392,0.5024894733,0.4975105267
2.442974718,0.4958701733,0.5041298267
2.446538045,0.4891684609,0.5108315391
2.450101371,0.4823864297,0.5176135703
2.453664698,0.4755263768,0.5244736232
2.457228024,0.4685908106,0.5314091894
2.460791351,0.4615824564,0.5384175436
2.464354677,0.4545042634,0.5454957366
2.467918004,0.4473594104,0.5526405896
2.47148133,0.4401513107,0.5598486893
2.475044657,0.4328836177,0.5671163823
2.478607983,0.4255602283,0.5744397717
2.48217131,0.4181852868,0.5818147132
2.485734636,0.4107631875,0.5892368125
2.489297963,0.4032985765,0.5967014235
2.492861289,0.3957963528,0.6042036472
2.496424616,0.388261668,0.611738332
2.499987942,0.3806999251,0.6193000749
2.503551269,0.3731167765,0.6268832235
2.507114595,0.3655181202,0.6344818798
2.510677922,0.3579100951,0.6420899049
2.514241248,0.3502990752,0.6497009248
2.517804575,0.3426916613,0.6573083387
2.521367901,0.3350946729,0.6649053271
2.524931227,0.3275151373,0.6724848627
2.528494554,0.3199602779,0.6800397221
2.53205788,0.3124375007,0.6875624993
2.535621207,0.3049543793,0.6950456207
2.539184533,0.2975186388,0.7024813612
2.54274786,0.2901381373,0.7098618627
2.546311186,0.2828208473,0.7171791527
2.549874513,0.2755748343,0.7244251657
2.553437839,0.268408235,0.731591765
2.557001166,0.261329234,0.738670766
2.560564492,0.2543460394,0.7456539606
2.564127819,0.2474668572,0.7525331428
2.567691145,0.2406998647,0.7593001353
2.571254472,0.2340531839,0.7659468161
2.574817798,0.2275348533,0.7724651467
2.578381125,0.2211527997,0.7788472003
2.581944451,0.2149148101,0.7850851899
2.585507778,0.208828503,0.791171497
2.589071104,0.2029012999,0.7970987001
2.592634431,0.1971403975,0.8028596025
2.596197757,0.1915527399,0.8084472601
2.599761084,0.1861449921,0.8138550079
2.60332441,0.1809235142,0.8190764858
2.606887737,0.1758943363,0.8241056637
2.610451063,0.1710631357,0.8289368643
2.61401439,0.1664352146,0.8335647854
2.617577716,0.1620154802,0.8379845198
2.621141043,0.1578084264,0.8421915736
2.624704369,0.1538181171,0.8461818829
2.628267696,0.1500481727,0.8499518273
2.631831022,0.1465017575,0.8534982425
2.635394349,0.1431815699,0.8568184301
2.638957675,0.1400898357,0.8599101643
2.642521002,0.1372283027,0.8627716973
2.646084328,0.134598238,0.865401762
2.649647655,0.1322004283,0.8677995717
2.653210981,0.1300351819,0.8699648181
2.656774308,0.1281023335,0.8718976665
2.660337634,0.1264012508,0.8735987492
2.66390096,0.1249308435,0.8750691565
2.667464287,0.1236895749,0.8763104251
2.671027613,0.1226754742,0.8773245258
2.67459094,0.121886152,0.878113848
2.678154266,0.1213188165,0.8786811835
2.681717593,0.1209702915,0.8790297085
2.685280919,0.1208370358,0.8791629642
2.688844246,0.1209151637,0.8790848363
2.692407572,0.1212004666,0.8787995334
2.695970899,0.1216884347,0.8783115653
2.699534225,0.1223742809,0.8776257191
2.703097552,0.1232529632,0.8767470368
2.706660878,0.1243192088,0.8756807912
2.710224205,0.1255675379,0.8744324621
2.713787531,0.1269922873,0.8730077127
2.717350858,0.1285876337,0.8714123663
2.720914184,0.1303476176,0.8696523824
2.724477511,0.1322661652,0.8677338348
2.728040837,0.1343371113,0.8656628887
2.731604164,0.1365542204,0.8634457796
2.73516749,0.1389112076,0.8610887924
2.738730817,0.1414017587,0.8585982413
2.742294143,0.144019549,0.855980451
2.74585747,0.1467582614,0.8532417386
2.749420796,0.1496116036,0.8503883964
2.752984123,0.1525733237,0.8474266763
2.756547449,0.1556372259,0.8443627741
2.760110776,0.1587971833,0.8412028167
2.763674102,0.1620471519,0.8379528481
2.767237429,0.1653811811,0.8346188189
2.770800755,0.1687934251,0.8312065749
2.774364082,0.1722781522,0.8277218478
2.777927408,0.1758297534,0.8241702466
2.781490735,0.17944275,0.82055725
2.785054061,0.1831117998,0.8168882002
2.788617388,0.1868317033,0.8131682967
2.792180714,0.1905974081,0.8094025919
2.795744041,0.1944040129,0.8055959871
2.799307367,0.1982467707,0.8017532293
2.802870693,0.2021210909,0.7978789091
2.80643402,0.2060225415,0.7939774585
2.809997346,0.2099468493,0.7900531507
2.813560673,0.2138899011,0.7861100989
2.817123999,0.2178477432,0.7821522568
2.820687326,0.2218165804,0.7781834196
2.824250652,0.2257927753,0.7742072247
2.827813979,0.2297728466,0.7702271534
2.831377305,0.2337534671,0.7662465329
2.834940632,0.2377314611,0.7622685389
2.838503958,0.2417038024,0.7582961976
2.842067285,0.2456676106,0.7543323894
2.845630611,0.2496201489,0.7503798511
2.849193938,0.2535588198,0.7464411802
2.852757264,0.2574811623,0.7425188377
2.856320591,0.2613848481,0.7386151519
2.859883917,0.2652676776,0.7347323224
2.863447244,0.2691275762,0.7308724238
2.86701057,0.2729625905,0.7270374095
2.870573897,0.2767708841,0.7232291159
2.874137223,0.2805507338,0.7194492662
2.87770055,0.2843005256,0.7156994744
2.881263876,0.2880187504,0.7119812496
2.884827203,0.2917040003,0.7082959997
2.888390529,0.2953549648,0.7046450352
2.891953856,0.2989704264,0.7010295736
2.895517182,0.3025492572,0.6974507428
2.899080509,0.306090415,0.693909585
2.902643835,0.3095929393,0.6904070607
2.906207162,0.3130559483,0.6869440517
2.909770488,0.3164786346,0.6835213654
2.913333815,0.3198602622,0.6801397378
2.916897141,0.3232001631,0.6767998369
2.920460468,0.3264977337,0.6735022663
2.924023794,0.3297524321,0.6702475679
2.927587121,0.3329637746,0.6670362254
2.931150447,0.3361313328,0.6638686672
2.934713774,0.339254731,0.660745269
2.9382771,0.3423336431,0.6576663569
2.941840426,0.3453677899,0.6546322101
2.945403753,0.3483569366,0.6516430634
2.948967079,0.3513008907,0.6486991093
2.952530406,0.3541994987,0.6458005013
2.956093732,0.3570526449,0.6429473551
2.959657059,0.3598602481,0.6401397519
2.963220385,0.3626222604,0.6373777396
2.966783712,0.3653386648,0.6346613352
2.970347038,0.3680094731,0.6319905269
2.973910365,0.3706347244,0.6293652756
2.977473691,0.373214483,0.626785517
2.981037018,0.3757488371,0.6242511629
2.984600344,0.378237897,0.621762103
2.988163671,0.3806817933,0.6193182067
2.991726997,0.3830806759,0.6169193241
2.995290324,0.3854347125,0.6145652875
2.99885365,0.387744087,0.612255913
3.002416977,0.3900089987,0.6099910013
3.005980303,0.3922296607,0.6077703393
3.00954363,0.3944062991,0.6055937009
3.013106956,0.3965391516,0.6034608484
3.016670283,0.3986284669,0.6013715331
3.020233609,0.4006745034,0.5993254966
3.023796936,0.4026775284,0.5973224716
3.027360262,0.4046378174,0.5953621826
3.030923589,0.406555653,0.593444347
3.034486915,0.4084313244,0.5915686756
3.038050242,0.4102651267,0.5897348733
3.041613568,0.4120573598,0.5879426402
3.045176895,0.4138083284,0.5861916716
3.048740221,0.4155183409,0.5844816591
3.052303548,0.4171877089,0.5828122911
3.055866874,0.4188167471,0.5811832529
3.059430201,0.4204057722,0.5795942278
3.062993527,0.4219551029,0.5780448971
3.066556854,0.4234650591,0.5765349409
3.07012018,0.4249359618,0.5750640382
3.073683507,0.4263681326,0.5736318674
3.077246833,0.4277618934,0.5722381066
3.08081016,0.4291175658,0.5708824342
3.084373486,0.4304354712,0.5695645288
3.087936812,0.4317159302,0.5682840698
3.091500139,0.4329592625,0.5670407375
3.095063465,0.4341657865,0.5658342135
3.098626792,0.4353358193,0.5646641807
3.102190118,0.4364696764,0.5635303236
3.105753445,0.4375676712,0.5624323288
3.109316771,0.4386301154,0.5613698846
3.112880098,0.4396573183,0.5603426817
3.116443424,0.440649587,0.559350413
3.120006751,0.441607226,0.558392774
3.123570077,0.4425305374,0.5574694626
3.127133404,0.4434198205,0.5565801795
3.13069673,0.4442753717,0.5557246283
3.134260057,0.4450974847,0.5549025153
3.137823383,0.4458864501,0.5541135499
3.14138671,0.4466425554,0.5533574446
3.144950036,0.4473660852,0.5526339148
3.148513363,0.4480573208,0.5519426792
3.152076689,0.4487165404,0.5512834596
3.155640016,0.4493440187,0.5506559813
3.159203342,0.4499400273,0.5500599727
3.162766669,0.4505048347,0.5494951653
3.166329995,0.4510387057,0.5489612943
3.169893322,0.4515419021,0.5484580979
3.173456648,0.4520146821,0.5479853179
3.177019975,0.4524573006,0.5475426994
3.180583301,0.4528700094,0.5471299906
3.184146628,0.4532530567,0.5467469433
3.187709954,0.4536066875,0.5463933125
3.191273281,0.4539311434,0.5460688566
3.194836607,0.4542266629,0.5457733371
3.198399934,0.454493481,0.545506519
3.20196326,0.4547318297,0.5452681703
3.205526587,0.4549419376,0.5450580624
3.209089913,0.4551240302,0.5448759698
3.21265324,0.4552783299,0.5447216701
3.216216566,0.4554050558,0.5445949442
3.219779893,0.4555044243,0.5444955757
3.223343219,0.4555766483,0.5444233517
3.226906545,0.4556219381,0.5443780619
3.230469872,0.455640501,0.544359499
3.234033198,0.4556325412,0.5443674588
3.237596525,0.4555982603,0.5444017397
3.241159851,0.455537857,0.544462143
