# frame, leg, t, axis x, axis y, axis z, best n, diff %
210, 2, 0.3333, 0.343074, -0.395511, -0.851981, 2, 73.1815
211, 2, 0.3444, 0.337611, -0.398178, -0.852920, 2, 73.1538
212, 2, 0.3556, 0.332136, -0.400830, -0.853827, 2, 72.7801
213, 2, 0.3667, 0.326649, -0.403466, -0.854702, 2, 72.8304
214, 2, 0.3778, 0.321149, -0.406088, -0.855544, 2, 73.8156
215, 2, 0.3889, 0.315636, -0.408694, -0.856355, 2, 74.0330
216, 2, 0.4000, 0.310112, -0.411285, -0.857132, 2, 73.7179
217, 2, 0.4111, 0.304576, -0.413860, -0.857877, 2, 72.7692
218, 2, 0.4222, 0.299029, -0.416419, -0.858590, 2, 73.1770
219, 2, 0.4333, 0.293470, -0.418963, -0.859270, 2, 73.2229
220, 2, 0.4444, 0.287900, -0.421491, -0.859918, 2, 72.8609
221, 2, 0.4556, 0.282320, -0.424002, -0.860533, 2, 72.9541
222, 2, 0.4667, 0.276728, -0.426498, -0.861116, 2, 72.6489
223, 2, 0.4778, 0.271126, -0.428978, -0.861666, 2, 72.7110
224, 2, 0.4889, 0.265514, -0.431441, -0.862184, 2, 72.4393
225, 2, 0.5000, 0.259892, -0.433889, -0.862668, 2, 72.4418
226, 2, 0.5111, 0.254260, -0.436319, -0.863121, 2, 72.3945
227, 2, 0.5222, 0.248618, -0.438734, -0.863540, 2, 72.4739
228, 2, 0.5333, 0.242967, -0.441131, -0.863927, 2, 72.7786
229, 2, 0.5444, 0.237307, -0.443512, -0.864281, 2, 72.8826
230, 2, 0.5556, 0.231638, -0.445876, -0.864603, 2, 73.4137
231, 2, 0.5667, 0.225960, -0.448224, -0.864892, 2, 72.9354
232, 2, 0.5778, 0.220273, -0.450554, -0.865148, 2, 73.8328
233, 2, 0.5889, 0.214578, -0.452867, -0.865371, 2, 73.4374
234, 2, 0.6000, 0.208875, -0.455163, -0.865562, 2, 73.7929
235, 2, 0.6111, 0.203165, -0.457442, -0.865720, 2, 73.5104
236, 2, 0.6222, 0.197446, -0.459704, -0.865845, 2, 73.8580
237, 2, 0.6333, 0.191720, -0.461948, -0.865937, 2, 74.4877
238, 2, 0.6444, 0.185987, -0.464175, -0.865997, 2, 74.4068
239, 2, 0.6556, 0.180246, -0.466384, -0.866024, 2, 73.2613
240, 2, 0.6667, 0.174499, -0.468576, -0.866018, 2, 72.7890
241, 2, 0.6778, 0.168746, -0.470749, -0.865979, 2, 73.2298
242, 2, 0.6889, 0.162985, -0.472905, -0.865908, 2, 73.5015
243, 2, 0.7000, 0.157219, -0.475044, -0.865803, 2, 73.9270
244, 2, 0.7111, 0.151447, -0.477164, -0.865667, 2, 73.5079
245, 2, 0.7222, 0.145669, -0.479266, -0.865497, 2, 73.2362
246, 2, 0.7333, 0.139885, -0.481350, -0.865294, 2, 72.7441
