inner,mid,zoom,rx,ry,rz,level,faces,pents,chi,coords,mantissa_ones,density,powers_of_two,short_tail,worst,ink,l_entropy,distinct,net_digest,image,netfile
0.73,0.05,180,0,0,0,3,10292,12,2,185220,4722786,0.490351,1980,0,38,0.407683,2.863505,581,377d60ecc443e5f5,img_i0.73_m0.05_v0.png,net_i0.73_m0.05_lv3.gosnet
0.73,0.05,260,0.35,0.6,0,3,10292,12,2,185220,4722786,0.490351,1980,0,38,0.690571,5.463680,1936,377d60ecc443e5f5,img_i0.73_m0.05_v1.png,net_i0.73_m0.05_lv3.gosnet
0.73,0.05,420,0.9,1.2,0.3,3,10292,12,2,185220,4722786,0.490351,1980,0,38,0.474558,3.506099,1036,377d60ecc443e5f5,img_i0.73_m0.05_v2.png,net_i0.73_m0.05_lv3.gosnet
0.73,0.05,760,0.35,2.4,0,3,10292,12,2,185220,4722786,0.490351,1980,0,38,0.282007,1.854527,425,377d60ecc443e5f5,img_i0.73_m0.05_v3.png,net_i0.73_m0.05_lv3.gosnet
0.73,0.28,180,0,0,0,3,10292,12,2,185220,4705542,0.488561,1980,0,37,0.391184,2.752634,586,2edc1fcd7c46d6af,img_i0.73_m0.28_v0.png,net_i0.73_m0.28_lv3.gosnet
0.73,0.28,260,0.35,0.6,0,3,10292,12,2,185220,4705542,0.488561,1980,0,37,0.654180,5.170310,1756,2edc1fcd7c46d6af,img_i0.73_m0.28_v1.png,net_i0.73_m0.28_lv3.gosnet
0.73,0.28,420,0.9,1.2,0.3,3,10292,12,2,185220,4705542,0.488561,1980,0,37,0.419280,3.087429,950,2edc1fcd7c46d6af,img_i0.73_m0.28_v2.png,net_i0.73_m0.28_lv3.gosnet
0.73,0.28,760,0.35,2.4,0,3,10292,12,2,185220,4705542,0.488561,1980,0,37,0.241868,1.599250,380,2edc1fcd7c46d6af,img_i0.73_m0.28_v3.png,net_i0.73_m0.28_lv3.gosnet
0.73,0.50,180,0,0,0,3,10292,12,2,185220,4713862,0.489424,1980,0,37,0.324636,2.440838,542,7d84a8f28a3c3b85,img_i0.73_m0.50_v0.png,net_i0.73_m0.50_lv3.gosnet
0.73,0.50,260,0.35,0.6,0,3,10292,12,2,185220,4713862,0.489424,1980,0,37,0.563003,4.680010,1582,7d84a8f28a3c3b85,img_i0.73_m0.50_v1.png,net_i0.73_m0.50_lv3.gosnet
